Timestamp;pix_x_v;yaw_angvel_100
4000;0;-2
31000;37;-2
57000;-37;9
84000;35;15
111000;-37;-2
138000;0;-2
165000;0;-2
192000;0;3
219000;33;-20
246000;0;-2
272000;39;-2
299000;38;-8
326000;0;3
352000;0;-2
378000;-45;-2
405000;-31;3
432000;0;-14
458000;0;-2
484000;45;-2
512000;0;-33
539000;0;-26
566000;0;46
593000;0;3
620000;0;-20
647000;38;-14
674000;-45;-26
700000;44;-2
727000;0;-20
754000;-39;15
781000;0;-2
808000;-32;-2
834000;0;-8
861000;37;-2
888000;38;-2
915000;37;-2
942000;-38;-8
968000;0;-2
995000;0;-2
1022000;27;-2
1048000;0;15
1075000;-44;21
1101000;0;-2
1128000;37;-8
1155000;0;-2
1182000;46;-14
1208000;33;-2
1235000;0;-14
1262000;0;-2
1289000;0;-14
1316000;-44;-8
1343000;0;-2
1370000;0;-14
1397000;35;15
1424000;30;-8
1450000;44;9
1477000;-38;-20
1504000;0;9
1531000;40;-20
1558000;0;3
1585000;0;-57
1612000;35;-14
1639000;0;-2
1666000;0;-20
1693000;-38;-2
1720000;40;3
1747000;0;-2
1774000;0;-2
1800000;0;3
1827000;-31;-39
1854000;41;3
1881000;-37;-2
1907000;37;-14
1934000;0;15
1961000;-38;-8
1988000;0;-14
2015000;37;3
2042000;-35;3
2069000;0;-2
2095000;0;-20
2122000;-44;-26
2149000;0;-20
2176000;0;-8
2203000;0;-14
2230000;33;3
2257000;-36;-8
2283000;0;-8
2310000;0;-2
2337000;-37;9
2364000;39;-2
2391000;0;-2
2418000;-34;9
2445000;0;-33
2472000;0;-8
2499000;0;-2
2526000;0;-2
2553000;0;-14
2579000;0;-33
2606000;0;-2
2633000;0;-14
2660000;-39;-2
2687000;45;-14
2713000;-38;3
2739000;37;-14
2766000;0;21
2793000;0;15
2819000;46;3
2846000;-30;-26
2873000;0;-2
2900000;-37;9
2927000;0;-2
2954000;0;-2
2981000;0;3
3008000;38;-20
3035000;-38;-2
3062000;33;-20
3089000;-37;-2
3116000;0;3
3143000;0;-8
3170000;34;-2
3195000;0;-2
3222000;0;-2
3249000;0;3
3276000;-37;-8
3303000;-38;-2
3330000;40;9
3356000;43;-8
3382000;0;-8
3409000;0;-8
3436000;35;-33
3463000;0;-2
3490000;0;9
3517000;0;-20
3544000;0;-8
3571000;0;-2
3598000;-47;15
3624000;-45;-2
3651000;0;-20
3678000;0;-8
3705000;0;21
3732000;41;-2
3759000;0;-26
3786000;38;-20
3813000;0;-14
3840000;0;-2
3867000;0;-26
3894000;0;-8
3921000;0;-20
3948000;0;-106
3975000;0;-136
4001000;89;-167
4028000;45;-240
4055000;61;-271
4082000;152;-332
4109000;79;-399
4136000;183;-521
4162000;113;-582
4189000;192;-612
4216000;162;-496
4243000;69;-387
4270000;127;-405
4297000;137;-509
4324000;180;-716
4350000;227;-857
4377000;325;-924
4403000;357;-1040
4430000;281;-1150
4457000;309;-1174
4484000;360;-1131
4510000;306;-1107
4537000;302;-1088
4564000;359;-1088
4591000;359;-918
4618000;224;-814
4645000;213;-704
4672000;189;-655
4699000;158;-637
4726000;156;-680
4753000;224;-686
4779000;271;-838
4806000;232;-863
4833000;229;-924
4859000;230;-960
4885000;308;-997
4911000;269;-1095
