Timestamp;pix_x_v;yaw_angvel_100
25000;0;-1
52000;0;72
78000;0;11
105000;0;-13
132000;0;-1
159000;0;11
186000;0;17
213000;0;11
240000;0;35
267000;0;-1
294000;0;-13
321000;0;17
348000;0;-7
375000;0;41
402000;0;29
429000;0;-13
455000;0;41
482000;0;29
509000;0;17
536000;0;35
562000;0;5
589000;0;5
616000;0;5
643000;0;17
670000;0;-13
697000;0;23
723000;0;-25
749000;0;11
776000;0;11
803000;0;-1
829000;0;5
855000;0;-7
882000;0;23
908000;0;59
935000;0;11
962000;0;23
989000;0;-19
1016000;0;11
1042000;0;11
1069000;0;29
1096000;0;-19
1123000;0;-13
1150000;0;29
1177000;0;-1
1204000;0;5
1231000;0;-7
1258000;0;-13
1285000;0;41
1312000;0;23
1339000;0;-7
1366000;0;-7
1393000;0;35
1419000;0;47
1445000;-37;29
1472000;0;5
1499000;0;17
1526000;0;53
1553000;-37;17
1580000;45;23
1607000;0;17
1634000;0;11
1661000;0;5
1688000;0;17
1715000;0;5
1742000;0;11
1769000;0;-1
1796000;0;23
1822000;0;41
1849000;0;-7
1876000;0;72
1902000;-38;5
1929000;45;-7
1956000;48;-135
1983000;94;-403
2010000;133;-654
2037000;239;-709
2064000;176;-593
2091000;221;-403
2118000;83;-281
2145000;84;-129
2172000;43;-43
2199000;0;-37
2225000;38;-68
2252000;0;-43
2279000;46;-31
2306000;36;47
2333000;0;108
2360000;0;96
2387000;0;90
2414000;-38;66
2441000;39;47
2468000;0;59
2495000;0;17
2522000;0;41
2549000;0;-13
2575000;0;96
2602000;0;-1
2629000;42;53
2655000;-40;53
2682000;-44;47
2708000;40;53
2735000;0;47
2761000;0;11
2788000;0;-1
2814000;0;5
2841000;0;-37
2868000;0;66
2895000;0;-37
2922000;0;-1
2949000;0;-19
2975000;0;-19
3002000;0;41
3029000;0;-19
3056000;0;23
3083000;0;17
3109000;0;-13
3136000;0;-1
3163000;0;-37
3189000;0;-110
3216000;43;-49
3243000;0;-62
3270000;41;-55
3297000;0;59
3324000;0;5
3351000;0;66
3378000;0;-7
3405000;0;-1
3432000;0;-25
3459000;0;-25
3485000;0;-1
3512000;0;-31
3539000;0;35
3566000;0;59
3593000;-47;151
3620000;-43;157
3647000;-43;157
3674000;-43;157
3701000;-131;377
3728000;-85;450
3755000;-140;603
3782000;-193;682
3809000;-280;792
3836000;-176;847
3862000;-272;890
3889000;-277;877
3916000;-215;841
3943000;-273;798
3970000;-303;725
3997000;-196;645
4024000;-151;578
4051000;-152;523
4078000;-168;456
4105000;-75;481
