Timestamp;yaw_angvel_10;pix_x_v_filter_10;tar_v_ronghe;tar_v_ronghe_filter;armor_sign
17000;0;0;0;0;0
45000;1;0;1;0;0
73000;1;0;1;0;0
101000;1;0;1;0;0
129000;-1;0;-1;0;0
158000;2;0;2;0;0
186000;-1;0;-1;0;0
214000;1;0;1;0;0
242000;0;0;0;0;0
270000;0;0;0;0;0
297000;0;0;0;0;0
325000;0;0;0;0;0
353000;0;0;0;0;0
381000;0;0;0;0;0
409000;0;0;0;0;0
437000;0;0;0;0;0
465000;0;0;-1;-1;0
493000;1;0;1;0;0
521000;-4;0;-4;-1;0
550000;-1;0;-1;-1;0
578000;1;0;1;0;0
606000;-1;0;-1;0;0
634000;1;0;1;0;0
662000;-3;0;-3;-1;0
690000;-1;0;-1;0;0
718000;0;0;0;0;0
746000;0;0;0;0;0
774000;0;0;0;0;0
802000;0;0;0;0;0
831000;1;0;1;0;0
859000;0;0;0;0;0
887000;-2;0;-2;0;0
915000;0;0;0;0;0
943000;0;0;0;0;0
970000;-1;0;-1;0;0
998000;0;0;0;0;0
1026000;0;0;0;0;0
1054000;-1;0;-1;0;0
1082000;1;0;1;0;0
1110000;0;0;0;0;0
1138000;0;0;0;0;0
1165000;-1;0;0;0;0
1193000;0;0;0;0;0
1221000;0;0;0;0;0
1248000;-1;0;-1;0;0
1276000;0;0;0;0;0
1304000;0;0;0;0;0
1332000;0;0;0;0;0
1360000;-2;0;-2;-1;0
1388000;-1;0;-1;-1;0
1416000;0;0;0;0;0
1443000;0;0;0;0;0
1471000;0;0;0;0;0
1499000;-1;0;-1;0;0
1527000;1;0;1;0;0
1555000;1;0;1;0;0
1583000;0;0;0;0;0
1611000;-1;0;-1;0;0
1639000;0;0;0;0;0
1667000;0;0;0;0;0
1695000;0;0;0;0;0
1723000;0;0;0;0;0
1751000;0;0;0;0;0
1779000;-1;0;-1;0;0
1807000;0;0;0;0;0
1834000;-1;0;-1;-1;0
1863000;-1;0;-1;-1;0
1891000;0;0;0;0;0
1918000;0;0;0;0;0
1946000;1;0;1;0;0
1974000;0;0;0;0;0
2002000;1;0;1;0;0
2030000;-3;0;-3;-1;0
2058000;-1;0;-1;0;0
2086000;0;0;0;0;0
2114000;0;0;0;0;0
2141000;-1;0;-1;0;0
2169000;-1;0;-1;0;0
2197000;-2;0;-2;-1;0
2225000;-1;0;-1;-1;0
2253000;0;0;0;0;0
2281000;-2;0;-2;0;0
2308000;0;0;0;0;0
2336000;0;0;0;0;0
2364000;1;0;1;1;0
2392000;-1;0;-1;0;0
2421000;0;0;0;0;0
2449000;0;0;0;0;0
2477000;1;0;1;0;0
2505000;1;0;1;0;0
2533000;0;0;0;0;0
2562000;0;0;1;0;0
2590000;3;0;3;1;0
2618000;0;0;0;0;0
2646000;0;0;0;0;0
2675000;1;0;1;1;0
2702000;-2;0;-2;-1;0
2730000;0;0;-1;-1;0
2758000;-2;0;-2;-1;0
2786000;-4;0;3;0;0
2814000;0;0;-1;0;0
2843000;0;0;0;-2;0
2872000;0;0;0;-1;0
2900000;-1;0;-1;-1;0
2928000;7;0;7;2;0
2956000;44;0;44;23;0
2984000;50;0;50;43;0
3013000;48;0;48;45;0
3041000;34;0;34;40;0
3068000;21;0;21;30;0
3096000;3;0;3;16;0
3124000;-7;0;-7;2;0
3152000;-4;0;-4;0;0
3180000;1;0;1;-1;0
3208000;6;0;6;3;0
3236000;23;0;23;12;0
3263000;10;0;33;20;0
3291000;33;0;33;25;0
3319000;65;0;65;47;0
3348000;64;0;64;60;0
3376000;22;0;22;44;0
3404000;-96;0;-96;-29;0
3432000;-158;0;-158;-103;0
3461000;-138;0;-138;-134;0
3490000;-71;0;-71;-38;1
3517000;62;-25;34;21;1
3545000;100;-105;-24;-7;1
3573000;77;-97;-46;-32;1
3601000;64;-70;-15;-22;1
3629000;-9;-34;-48;-40;1
3657000;23;-4;18;1;1
3686000;87;-19;66;38;1
3715000;144;-51;86;68;1
3743000;172;-128;25;41;1
3771000;141;-100;26;18;1
3800000;88;-137;-68;-36;1
3828000;6;-68;-71;-64;1
3856000;-13;-14;-29;-44;1
3884000;11;3;14;2;1
3912000;36;-14;20;9;1
3940000;93;-31;57;40;1
3968000;171;-82;77;60;1
3996000;191;-136;35;63;1
4024000;167;-158;-7;0;1
4053000;123;-130;-25;-28;1
4082000;88;-109;-36;-26;1
4110000;59;-69;-19;-15;1
4137000;18;-49;-37;-30;1
4165000;10;-26;-19;-18;1
4193000;8;-7;0;-9;1
4221000;22;-1;21;11;1
4250000;29;-15;12;11;1
4278000;13;-39;-31;-7;1
4306000;-18;-5;-24;-21;1
4334000;-26;14;-10;-17;1
4362000;-52;20;-29;-23;1
4390000;-19;33;18;2;1
4418000;17;17;37;32;1
4446000;12;-3;8;15;1
4474000;11;-3;7;7;1
4503000;-7;0;-7;0;1
4531000;11;0;11;5;1
4558000;18;0;18;11;1
4585000;53;0;53;34;1
4614000;53;-30;2;20;1
4643000;69;-42;21;22;1
4671000;75;-59;7;20;1
4699000;69;-47;15;6;1
4727000;44;-48;-22;-7;1
4755000;17;-23;-8;-11;1
4782000;11;-15;-5;-7;1
4811000;12;-9;8;-1;1
4838000;3;-27;-27;-15;1
4866000;64;-5;59;32;1
4895000;116;-81;22;34;1
4923000;148;-114;17;18;1
4951000;187;-135;40;26;1
4978000;209;-144;43;39;1
5006000;231;-193;9;38;1
5034000;222;-195;-1;-23;1
5062000;194;-206;-42;-25;1
5090000;189;-175;-11;-18;1
5118000;186;-172;-10;-17;1
5146000;185;-185;-27;-19;1
5174000;185;-129;36;18;1
5202000;186;-120;48;28;1
5229000;197;-156;17;7;1
5257000;202;-157;-32;-9;1
5285000;206;-166;16;12;1
5313000;233;-217;-15;3;1
5341000;255;-230;-8;4;1
5369000;239;-237;-33;-13;1
5398000;210;-141;47;11;1
5427000;163;-253;-127;-57;1
5455000;26;-93;-80;-78;1
5483000;-45;-33;-83;-86;1
5511000;-146;47;-92;-87;1
5539000;-189;172;-6;-39;1
5567000;-217;178;-13;-29;1
5595000;-214;177;-9;-16;1
5622000;-200;173;-1;-16;1
5650000;-170;162;16;20;1
5677000;-147;136;8;18;1
5704000;-123;162;63;32;1
5732000;-120;89;-18;-9;1
5760000;-120;100;-5;-3;1
5788000;-128;103;-10;-8;1
5816000;-134;99;-20;-18;1
5844000;-134;80;-42;-23;1
5872000;-124;93;-17;-8;1
5900000;-111;85;-13;-4;1
5928000;-106;119;30;14;1
5956000;-99;83;-3;6;1
5984000;-111;95;-2;-8;1
6013000;-132;66;-56;-33;1
6041000;-164;162;-17;-15;1
6069000;-207;194;15;-16;1
6096000;-224;250;62;7;1
6125000;-223;176;-21;0;1
6153000;-235;191;-15;-6;1
6181000;-247;203;-14;-5;1
6209000;-255;208;-16;-2;1
6238000;-270;199;-42;-11;1
6266000;-287;276;29;0;1
6294000;-275;231;-9;-6;1
6322000;-265;221;-11;4;1
6350000;-266;188;-50;23;1
6378000;-266;181;-58;-22;1
6406000;-266;207;-27;-15;1
6434000;-273;205;-38;-27;1
6461000;-259;220;-6;-15;1
6489000;-225;230;39;41;1
6517000;-173;199;55;39;1
6545000;-128;154;48;40;1
